省份,年份,月份,年月,供应链环节,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率,数据完整性标记
山西,2023,10,2023-10,生产,1,1,0,0,0,0,0.0,,基本完整
山西,2023,10,2023-10,餐饮,13,13,0,0,0,0,0.0,,基本完整
山西,2023,11,2023-11,餐饮,12,12,0,0,0,0,0.0,,基本完整
山西,2023,12,2023-12,流通,16,16,0,0,0,0,0.0,,基本完整
山西,2023,12,2023-12,生产,3,3,0,0,0,0,0.0,,基本完整
山西,2023,12,2023-12,餐饮,53,51,2,2,2,2,0.03773584905660377,1.0,基本完整
山西,2024,1,2024-01,流通,1,1,0,0,0,0,0.0,,基本完整
山西,2024,1,2024-01,餐饮,2,2,0,0,0,0,0.0,,基本完整
山西,2024,2,2024-02,流通,3,1,2,0,0,0,0.6666666666666666,,基本完整
山西,2024,2,2024-02,餐饮,3,3,0,0,0,0,0.0,,基本完整
山西,2024,3,2024-03,流通,6,6,0,0,0,0,0.0,,基本完整
山西,2024,3,2024-03,餐饮,5,5,0,0,0,0,0.0,,基本完整
山西,2024,4,2024-04,流通,1,1,0,0,0,0,0.0,,基本完整
山西,2024,4,2024-04,餐饮,2,2,0,0,0,0,0.0,,基本完整
山西,2024,5,2024-05,流通,1,1,0,0,0,0,0.0,,基本完整
山西,2024,5,2024-05,生产,3,3,0,0,0,0,0.0,,基本完整
山西,2024,5,2024-05,餐饮,1,1,0,0,0,0,0.0,,基本完整
山西,2024,6,2024-06,流通,7,7,0,0,0,0,0.0,,基本完整
山西,2024,6,2024-06,餐饮,24,24,0,0,0,0,0.0,,基本完整
山西,2024,7,2024-07,流通,3,3,0,0,0,0,0.0,,基本完整
山西,2024,7,2024-07,餐饮,20,19,1,1,1,1,0.05,1.0,基本完整
山西,2024,8,2024-08,餐饮,22,22,0,0,0,0,0.0,,基本完整
山西,2024,9,2024-09,流通,4,3,1,0,0,0,0.25,,基本完整
山西,2024,9,2024-09,生产,2,2,0,0,0,0,0.0,,基本完整
山西,2024,9,2024-09,餐饮,27,26,1,1,1,1,0.037037037037037035,1.0,基本完整
山西,2024,10,2024-10,流通,1,0,1,0,0,0,1.0,,基本完整
山西,2024,10,2024-10,餐饮,7,7,0,0,0,0,0.0,,基本完整
山西,2024,11,2024-11,流通,1,0,1,0,0,0,1.0,,基本完整
山西,2024,11,2024-11,餐饮,37,36,1,1,1,1,0.02702702702702703,1.0,基本完整
山西,2024,12,2024-12,流通,2,1,1,0,0,0,0.5,,基本完整
山西,2024,12,2024-12,餐饮,35,34,1,1,1,1,0.02857142857142857,1.0,基本完整
广东,2023,1,2023-01,流通,245,241,4,20,0,0,0.0163265306122449,0.0,基本完整
广东,2023,1,2023-01,生产,66,66,0,1,0,0,0.0,0.0,基本完整
