省份,年份,月份,年月,供应链环节,样本量,均值,中位数,P75,P90,P95,最大值,lognormal_mu,lognormal_sigma,是否适合MonteCarlo模拟
江苏,2024,6,2024-06,餐饮,2,142.55,142.55,168.275,183.71,188.855,194.0,4.889907981664621,0.53450226677857,不适合/样本不足
江苏,2024,7,2024-07,餐饮,1,38.0,38.0,38.0,38.0,38.0,38.0,,,不适合/样本不足
江苏,2024,8,2024-08,餐饮,2,960.0,960.0,960.0,960.0,960.0,960.0,6.866933284461882,0.0,不适合/样本不足
江苏,2024,10,2024-10,餐饮,1,264.0,264.0,264.0,264.0,264.0,264.0,,,不适合/样本不足
江西,2023,11,2023-11,生产,1,24.9,24.9,24.9,24.9,24.9,24.9,,,不适合/样本不足
江西,2024,8,2024-08,流通,1,51.4,51.4,51.4,51.4,51.4,51.4,,,不适合/样本不足
江西,2024,12,2024-12,流通,1,45.9,45.9,45.9,45.9,45.9,45.9,,,不适合/样本不足
江西,2024,12,2024-12,生产,1,32.4,32.4,32.4,32.4,32.4,32.4,,,不适合/样本不足
河北,2023,9,2023-09,流通,1,30.4,30.4,30.4,30.4,30.4,30.4,,,不适合/样本不足
河北,2024,3,2024-03,流通,1,416.0,416.0,416.0,416.0,416.0,416.0,,,不适合/样本不足
河北,2024,5,2024-05,餐饮,2,101.4,101.4,136.2,157.08,164.04,171.0,4.300564923144396,1.1894930945887332,不适合/样本不足
河北,2024,6,2024-06,生产,1,40.3,40.3,40.3,40.3,40.3,40.3,,,不适合/样本不足
河北,2024,8,2024-08,流通,2,79.55000000000001,79.55000000000001,88.97500000000001,94.63000000000001,96.515,98.4,4.34749225106183,0.3416012396190733,不适合/样本不足
河南,2023,1,2023-01,流通,1,33.0,33.0,33.0,33.0,33.0,33.0,,,不适合/样本不足
河南,2023,1,2023-01,餐饮,4,129.775,87.8,167.5,249.40000000000003,276.69999999999993,304.0,4.544724621530828,0.9152150942919236,可探索但样本偏少
河南,2023,2,2023-02,餐饮,4,45.6,45.650000000000006,45.875,46.19,46.295,46.4,3.8198197438180577,0.015325505193021947,可探索但样本偏少
河南,2023,3,2023-03,餐饮,5,54.220000000000006,47.6,55.0,83.80000000000001,93.39999999999999,103.0,3.896405402291888,0.47237896663809736,可探索但样本偏少
河南,2023,4,2023-04,流通,1,308.0,308.0,308.0,308.0,308.0,308.0,,,不适合/样本不足
河南,2023,4,2023-04,餐饮,30,55.419999999999995,55.8,64.9,85.0,85.16499999999999,85.3,3.9687201983451255,0.3069674407659922,较适合
河南,2023,7,2023-07,餐饮,1,48.9,48.9,48.9,48.9,48.9,48.9,,,不适合/样本不足
河南,2023,9,2023-09,餐饮,1,31.1,31.1,31.1,31.1,31.1,31.1,,,不适合/样本不足
河南,2023,10,2023-10,餐饮,3,213.33333333333334,180.0,233.5,265.6,276.3,287.0,5.33524355371587,0.281498429150343,可探索但样本偏少
河南,2023,11,2023-11,流通,1,127.0,127.0,127.0,127.0,127.0,127.0,,,不适合/样本不足
河南,2023,11,2023-11,餐饮,3,52.86666666666667,52.4,53.7,54.48,54.74,55.0,3.967326436201643,0.03653194677197296,可探索但样本偏少
河南,2023,12,2023-12,餐饮,3,204.6,107.0,274.0,374.20000000000005,407.59999999999997,441.0,4.982831182746675,0.9883730810870974,可探索但样本偏少
河南,2024,1,2024-01,流通,1,32.0,32.0,32.0,32.0,32.0,32.0,,,不适合/样本不足
河南,2024,3,2024-03,餐饮,2,50.9,50.9,58.7,63.38,64.94,66.5,3.88054245580053,0.44782414804439297,不适合/样本不足
河南,2024,6,2024-06,餐饮,5,128.72,122.0,217.0,217.0,217.0,217.0,4.624616677315796,0.8063925523539498,可探索但样本偏少
河南,2024,7,2024-07,餐饮,2,80.55,80.55,87.525,91.71,93.105,94.5,4.373652206023021,0.24741330889672594,不适合/样本不足
河南,2024,8,2024-08,餐饮,1,452.0,452.0,452.0,452.0,452.0,452.0,,,不适合/样本不足
河南,2024,9,2024-09,餐饮,2,38.25,38.25,41.225,43.010000000000005,43.605000000000004,44.2,3.6318960096561317,0.22178938683681843,不适合/样本不足
河南,2024,11,2024-11,餐饮,1,34.5,34.5,34.5,34.5,34.5,34.5,,,不适合/样本不足
河南,2024,12,2024-12,流通,1,199.0,199.0,199.0,199.0,199.0,199.0,,,不适合/样本不足
河南,2024,12,2024-12,餐饮,1,32.3,32.3,32.3,32.3,32.3,32.3,,,不适合/样本不足
浙江,2023,6,2023-06,餐饮,1,158.0,158.0,158.0,158.0,158.0,158.0,,,不适合/样本不足
