省份,年月,供应链环节,Q_action_0,Q_action_1,Q_action_3,Q_action_5,Q_action_10,experimental_label
云南,2023-05,流通,0.31931484,0.21755546,0.039390296,-0.13004735,-0.61619437,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-06,流通,0.30308223,0.19834104,0.017630517,-0.15145963,-0.6378335,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-07,流通,0.29841578,0.19345275,0.006506443,-0.16047606,-0.6470481,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-08,流通,0.27652997,0.17014974,-0.020243764,-0.18703368,-0.67450964,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-09,流通,0.26392305,0.15762946,-0.03589815,-0.20247781,-0.6896357,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-10,流通,0.31032187,0.20706972,0.016579866,-0.15820953,-0.6380491,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-11,流通,0.50209403,0.40820482,0.21709198,0.03436669,-0.44810495,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-12,流通,0.55817974,0.46493205,0.2730685,0.08664229,-0.3973932,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-01,流通,0.27697006,0.19590223,-0.017136544,-0.19542728,-0.68198943,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-02,流通,0.36922008,0.27491698,0.08231202,-0.101711966,-0.5896382,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-03,流通,0.32629025,0.21867925,0.04709822,-0.13421781,-0.62561595,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-04,流通,0.36464742,0.2624016,0.061780512,-0.096275516,-0.6031564,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-05,流通,0.29704148,0.19252875,-0.0043441057,-0.16600898,-0.66449153,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-06,流通,0.30463699,0.20090538,0.0036529005,-0.15897566,-0.65833217,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-07,流通,0.32946694,0.23410243,0.027050525,-0.13322362,-0.64038414,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-08,流通,0.3041038,0.20077813,0.024663985,-0.1532301,-0.6416861,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-09,流通,0.2603115,0.15226063,-0.038863003,-0.19505894,-0.69348514,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-10,流通,0.3310633,0.23045409,0.029711634,-0.12720501,-0.63046104,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-11,流通,0.30641243,0.21122733,0.0024060607,-0.15443584,-0.65826195,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-12,流通,0.3128655,0.20318699,0.026765436,-0.15616071,-0.64955044,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-05,生产,0.30929434,0.28939247,0.15029947,0.016014094,-0.41750994,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-09,生产,0.2827542,0.23913991,0.10186458,-0.045294516,-0.48486292,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-10,生产,0.33509067,0.24570653,0.10226509,-0.052854754,-0.52203256,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-11,生产,0.34609687,0.48911303,0.55867195,0.51444066,0.23943788,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-12,生产,0.36484814,0.5465392,0.65731764,0.64072245,0.3979001,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-02,生产,0.35226828,0.33386084,0.22592142,0.13480613,-0.29318857,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-06,生产,0.30812553,0.2855371,0.16817221,0.07401102,-0.35928833,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-09,生产,0.24285156,0.21717045,0.08906013,-0.0081245955,-0.44657996,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2024-10,生产,0.2812077,0.24067166,0.110351086,0.0027907435,-0.43839592,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-01,餐饮,0.3227356,0.27110243,0.13760099,-0.008608645,-0.44876808,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-02,餐饮,0.3776565,0.28479254,0.13767487,-0.023785776,-0.4977498,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-03,餐饮,0.3076064,0.21652806,0.0114533305,-0.16976047,-0.6805919,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-05,餐饮,0.29691577,0.2147668,-0.005959779,-0.18649189,-0.67571616,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-06,餐饮,0.2791336,0.19854385,-0.024449527,-0.20423077,-0.6921214,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
云南,2023-07,餐饮,0.2903788,0.20104887,-0.007960379,-0.19166356,-0.68273896,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
