序号,省份,年份,月份,年月,供应链环节,产品分类,产品名称,AFB1浓度_μg_kg_food,消费量_g_day,消费量_kg_day,消费量匹配方式,消费量匹配置信度,是否建议人工复核_消费量,消费量复核原因,体重_kg_bw,EDI_μg_kg_bw_day,MOE_low_bmdl,MOE_sensitive_bmdl,MOE_default_bmdl,MOE_high_bmdl,MOE_upper_bmdl,MOE_cutoff,是否低于MOE阈值,MOE风险等级,MOE风险惩罚项
108,不详,2023,11,2023-11,流通,花生仁/炒货坚果,新大花生,63.9,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00226845,22.04148206925434,29.094756331415727,46.2871123454341,69.6510833388437,83.31680222178139,3160.0,True,低于阈值/需关注,0.9853521796375208
109,不详,2023,11,2023-11,流通,花生仁/炒货坚果,生花生,46.1,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00163655,30.552076013565124,40.32874033790596,64.15935962848675,96.54456020286578,115.48684733127615,3160.0,True,低于阈值/需关注,0.9796964051808587
56,不详,2023,11,2023-11,餐饮,花生仁/炒货坚果,生花生米,76.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.002698,18.532246108228318,24.46256486286138,38.91771682727946,58.56189770200149,70.05189028910304,3160.0,True,低于阈值/需关注,0.9876842668268103
63,不详,2023,11,2023-11,餐饮,花生仁/炒货坚果,花生,5.7,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00020235,247.09661477637755,326.1675315048184,518.9028910303929,780.825302693353,934.0252038547071,3160.0,True,低于阈值/需关注,0.8357902243574706
64,不详,2023,11,2023-11,流通,花生仁/炒货坚果,生花生米,114.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.004046999999999999,12.354830738818881,16.308376575240924,25.945144551519647,39.04126513466766,46.70126019273537,3160.0,True,低于阈值/需关注,0.9917895112178735
65,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生米,98.8,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0035074,14.255573929406399,18.817357586816446,29.936705251753434,45.04761361692422,53.88606945315619,3160.0,True,低于阈值/需关注,0.9905263590975465
87,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生米,184.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.006532,7.654623392529088,10.104102878138397,16.074709124311084,24.18860992039192,28.934476423759953,3160.0,True,低于阈值/需关注,0.994913066732813
21,不详,2023,11,2023-11,餐饮,花生仁/炒货坚果,生干花生,106.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.003763,13.287270794578795,17.53919744884401,27.903268668615468,41.98777571086899,50.22588360350784,3160.0,True,低于阈值/需关注,0.991169851687147
52,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生米,106.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.003763,13.287270794578795,17.53919744884401,27.903268668615468,41.98777571086899,50.22588360350784,3160.0,True,低于阈值/需关注,0.991169851687147
41,不详,2023,11,2023-11,流通,花生仁/炒货坚果,生花生米,701.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0248855,2.0092021458278917,2.652146832492817,4.219324506238572,6.3490787808161375,7.594784111229431,3160.0,True,低于阈值/需关注,0.9986647707258739
40,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生,190.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.006745,7.412898443291327,9.785025945144552,15.567086730911786,23.424759080800595,28.020756115641216,3160.0,True,低于阈值/需关注,0.9950737067307242
41,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生米,28.2,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0010011,49.945060433523125,65.92747977225052,104.88462691039855,157.82639096993307,188.79232843871742,3160.0,True,低于阈值/需关注,0.966808662370127
1,不详,2023,11,2023-11,生产,花生仁/炒货坚果,花生米（小红）,43.5,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00154425,32.37817710862878,42.73919378338999,67.99417192812044,102.31503966326696,122.3895094706168,3160.0,True,低于阈值/需关注,0.978482856984772
8,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生米,269.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.009549499999999999,5.235876223886068,6.91135661552961,10.995340070160742,16.545368867479976,19.791612126289337,3160.0,True,低于阈值/需关注,0.9965204620031137
71,不详,2023,11,2023-11,流通,花生仁/炒货坚果,红皮花生,54.3,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.00192765,25.938318678183283,34.238580655201936,54.47046922418489,81.96508702305917,98.0468446035328,3160.0,True,低于阈值/需关注,0.982762509739182
74,不详,2023,11,2023-11,流通,花生仁/炒货坚果,花生,26.6,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0009443,52.94927459493805,69.89304246531823,111.1934766493699,167.31970772000423,200.14825796886583,3160.0,True,低于阈值/需关注,0.9648121909337437
75,不详,2023,11,2023-11,餐饮,花生仁/炒货坚果,花生,76.4,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.0027122,18.43521864169309,24.334488607034878,38.713959147555485,58.255290907750165,69.68512646559988,3160.0,True,低于阈值/需关注,0.9877487471052039
76,不详,2023,11,2023-11,餐饮,花生仁/炒货坚果,生花生米,175.0,2.13,0.00213,全国中位数默认值,低,True,省份无法匹配消费量，使用全国中位数默认值。,60.0,0.006212499999999999,8.048289738430585,10.623742454728372,16.901408450704228,25.432595573440647,30.422535211267608,3160.0,True,低于阈值/需关注,0.994651453021929
