省份,年份,月份,年月,供应链环节,EDI记录数,EDI均值,EDI中位数,EDI_P95,MOE_default_均值,MOE_default_中位数,MOE_default_最小值,低于MOE阈值记录数,MOE风险惩罚项_均值,低于MOE阈值比例,MOE风险等级_主导
山东,2024,5,2024-05,餐饮,3,0.01484022222222222,0.012064166666666666,0.022711766666666664,8.45389444692979,8.70346066173931,4.394255382962845,3,0.9973247169471741,1.0,低于阈值/需关注
山东,2024,6,2024-06,生产,1,0.004685566666666667,0.004685566666666667,0.004685566666666667,22.409242567601215,22.409242567601215,22.409242567601215,1,0.9929084675418983,1.0,低于阈值/需关注
山东,2024,7,2024-07,餐饮,2,0.01800285,0.01800285,0.027438584999999998,8.82553598056169,8.82553598056169,3.685891810299435,2,0.9972071088669109,1.0,低于阈值/需关注
山东,2024,8,2024-08,流通,2,0.005600108333333333,0.005600108333333333,0.008475660833333332,27.798255624733578,27.798255624733578,11.938375243978701,2,0.991203083663059,1.0,低于阈值/需关注
山东,2024,8,2024-08,餐饮,1,0.026541166666666664,0.026541166666666664,0.026541166666666664,3.956118482608778,3.956118482608778,3.956118482608778,1,0.9987480637713263,1.0,低于阈值/需关注
山东,2024,9,2024-09,流通,1,0.00459995,0.00459995,0.00459995,22.826335068859443,22.826335068859443,22.826335068859443,1,0.9927764762440319,1.0,低于阈值/需关注
山东,2024,10,2024-10,流通,1,0.004179649999999999,0.004179649999999999,0.004179649999999999,25.121720718241964,25.121720718241964,25.121720718241964,1,0.9920500883803031,1.0,低于阈值/需关注
山东,2024,10,2024-10,生产,1,0.0037359999999999993,0.0037359999999999993,0.0037359999999999993,28.104925053533194,28.104925053533194,28.104925053533194,1,0.9911060363754641,1.0,低于阈值/需关注
山东,2024,10,2024-10,餐饮,1,0.0095735,0.0095735,0.0095735,10.967775630647099,10.967775630647099,10.967775630647099,1,0.9965291849270105,1.0,低于阈值/需关注
山东,2024,11,2024-11,流通,1,0.017512499999999997,0.017512499999999997,0.017512499999999997,5.995717344753748,5.995717344753748,5.995717344753748,1,0.9981026210934324,1.0,低于阈值/需关注
山东,2024,11,2024-11,生产,3,0.0027371388888888883,0.0030510666666666666,0.0031141116666666665,39.84864617427986,34.414193943101864,33.64180555036392,3,0.9873896689321899,1.0,低于阈值/需关注
山东,2024,11,2024-11,餐饮,4,0.0048276125,0.0044832,0.007710948333333332,27.72811240261312,26.348367237687366,13.097440801646536,4,0.9912252808852491,1.0,低于阈值/需关注
山东,2024,12,2024-12,餐饮,1,0.0020937166666666666,0.0020937166666666666,0.0020937166666666666,50.150052140133575,50.150052140133575,50.150052140133575,1,0.9841297303354007,1.0,低于阈值/需关注
山西,2023,8,2023-08,餐饮,2,0.0013,0.0013,0.001615,87.08133971291866,87.08133971291866,63.63636363636363,2,0.9724426140148992,1.0,低于阈值/需关注
山西,2023,12,2023-12,餐饮,2,0.0012575,0.0012575,0.00139925,84.82974622550594,84.82974622550594,74.20494699646643,2,0.9731551435995235,1.0,低于阈值/需关注
山西,2024,7,2024-07,餐饮,1,0.0005033333333333334,0.0005033333333333334,0.0005033333333333334,208.6092715231788,208.6092715231788,208.6092715231788,1,0.9339844077458295,1.0,低于阈值/需关注
山西,2024,9,2024-09,餐饮,1,0.0011733333333333333,0.0011733333333333333,0.0011733333333333333,89.48863636363636,89.48863636363636,89.48863636363636,1,0.9716808112773302,1.0,低于阈值/需关注
