源文件路径,目标文件路径,操作,说明,是否canonical副本,时间
reports/peanut_beta_binomial_belief_update_report.md,outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_beta_binomial_belief_update_report.md,copy,historical package: BetaBinomial信念更新,False,2026-04-24T23:56:53
reports/archive/20260424_整理前历史报告/peanut_beta_binomial_error_log.md,outputs/工作包/20260424_2048_BetaBinomial信念更新/07_日志与错误/peanut_beta_binomial_error_log.md,copy,historical package: BetaBinomial信念更新,False,2026-04-24T23:56:53
reports/archive/20260424_整理前历史报告/peanut_beta_binomial_run_summary.json,outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_beta_binomial_run_summary.json,copy,historical package: BetaBinomial信念更新,False,2026-04-24T23:56:53
reports/tables/peanut_belief_state_latest.csv,outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_belief_state_latest.csv,copy,historical package: BetaBinomial信念更新,False,2026-04-24T23:56:53
reports/tables/peanut_belief_state_summary_by_stage.csv,outputs/工作包/20260424_2048_BetaBinomial信念更新/04_报告输出/peanut_belief_state_summary_by_stage.csv,copy,historical package: BetaBinomial信念更新,False,2026-04-24T23:56:53
data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_belief_mdp_state_features_with_moe_edi.csv,copy,historical package: MOE_EDI外部参数匹配,True,2026-04-24T23:56:53
data/04_feature/peanut_bmdl_parameter_config.json,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/06_配置参数/peanut_bmdl_parameter_config.json,copy,historical package: MOE_EDI外部参数匹配,True,2026-04-24T23:56:53
data/04_feature/peanut_bmdl_parameter_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_bmdl_parameter_table.csv,copy,historical package: MOE_EDI外部参数匹配,True,2026-04-24T23:56:53
data/04_feature/peanut_consumption_parameter_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_consumption_parameter_table.csv,copy,historical package: MOE_EDI外部参数匹配,True,2026-04-24T23:56:53
data/04_feature/peanut_population_parameter_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_population_parameter_table.csv,copy,historical package: MOE_EDI外部参数匹配,True,2026-04-24T23:56:53
data/04_feature/peanut_edi_moe_risk_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_edi_moe_risk_table.csv,copy,historical package: MOE_EDI外部参数匹配,True,2026-04-24T23:56:53
data/04_feature/peanut_edi_moe_risk_summary.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/01_数据输出/peanut_edi_moe_risk_summary.csv,copy,historical package: MOE_EDI外部参数匹配,True,2026-04-24T23:56:53
reports/peanut_moe_edi_external_parameter_matching_report.md,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/04_报告输出/peanut_moe_edi_external_parameter_matching_report.md,copy,historical package: MOE_EDI外部参数匹配,False,2026-04-24T23:56:53
reports/peanut_pre_dqn_readiness_after_moe_edi.md,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/04_报告输出/peanut_pre_dqn_readiness_after_moe_edi.md,copy,historical package: MOE_EDI外部参数匹配,False,2026-04-24T23:56:53
reports/peanut_moe_edi_error_log.md,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/07_日志与错误/peanut_moe_edi_error_log.md,copy,historical package: MOE_EDI外部参数匹配,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/README.md,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/04_报告输出/README.md,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/data/peanut_belief_mdp_state_features_with_moe_edi.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/02_表格输出/peanut_belief_mdp_state_features_with_moe_edi.csv,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/data/peanut_edi_moe_risk_table.csv,outputs/工作包/20260424_2132_MOE_EDI外部参数匹配/02_表格输出/peanut_edi_moe_risk_table.csv,copy,from legacy output dir outputs/20260424_MOE_EDI外部参数匹配与风险度量准备,False,2026-04-24T23:56:53
